,"Nome","Tamanho","Melhor valor conhecido","Random on Seed 42","LocalSearch on Random","GreedSearch","VNS Cost","VNS Time","VNS Iters","VNS No_Upt","GRASP Cost","GRASP Time","GRASP Iters","GRASP No_Upt","BEST","VNS Tour","GRASP Tour"
0,"burma14",14,,"5795.0","5326.0","4048.0","3323.0","18.531463384628296",261,10,"3490.0","50.86938261985779",502,1,"VNS","Solve of tour [8, 11, 9, 10, 1, 2, 14, 3, 4, 5, 6, 12, 7, 13]","Solve of tour [8, 1, 11, 9, 10, 2, 14, 3, 4, 12, 6, 5, 7, 13]"
1,"ulysses16",16,"6859.0","11645.0","10656.0","9988.0","6909.0","32.148579835891724",274,23,"6909.0","81.17695212364197",507,6,"GRASP","Solve of tour [1, 16, 13, 14, 12, 7, 6, 15, 5, 11, 9, 10, 3, 2, 4, 8]","Solve of tour [3, 2, 4, 8, 1, 16, 13, 14, 12, 7, 6, 15, 5, 11, 9, 10]"
2,"gr17",17,,"4653.0","4377.0","2187.0","2085.0","40.25327110290527",255,4,"2085.0","97.0010039806366",504,3,"GRASP","Solve of tour [1, 4, 13, 7, 8, 6, 17, 14, 15, 3, 11, 10, 2, 5, 9, 12, 16]","Solve of tour [4, 13, 7, 8, 6, 17, 14, 15, 3, 11, 10, 2, 5, 9, 12, 16, 1]"
3,"gr21",21,,"8371.0","7796.0","3333.0","3303.0","96.79711675643921",251,0,"2933.0","192.31614995002747",518,17,"GRASP","Solve of tour [1, 12, 4, 11, 20, 10, 18, 21, 2, 15, 14, 13, 17, 19, 7, 8, 6, 16, 5, 9, 3]","Solve of tour [4, 12, 1, 7, 8, 6, 16, 5, 9, 3, 2, 15, 21, 20, 10, 18, 13, 14, 17, 19, 11]"
4,"ulysses22",22,"7013.0","18402.0","17091.0","10586.0","7953.0","134.67506003379822",279,28,"7781.0","229.14744782447815",520,19,"GRASP","Solve of tour [17, 22, 4, 18, 8, 1, 16, 13, 7, 6, 5, 15, 14, 12, 21, 20, 19, 11, 9, 10, 3, 2]","Solve of tour [8, 1, 22, 4, 18, 17, 2, 3, 16, 21, 20, 19, 10, 7, 6, 15, 14, 13, 12, 9, 11, 5]"
5,"gr24",24,"1276.0","3672.0","3520.0","1553.0","1332.0","179.13060069084167",267,16,"1355.0","292.66895866394043",512,11,"VNS","Solve of tour [16, 1, 6, 7, 8, 21, 5, 24, 12, 4, 23, 9, 13, 14, 10, 17, 20, 2, 15, 19, 22, 18, 3, 11]","Solve of tour [18, 22, 17, 10, 5, 24, 8, 7, 6, 16, 1, 12, 4, 23, 9, 13, 14, 20, 2, 15, 19, 21, 11, 3]"
6,"fri26",26,"937.0","2839.0","2623.0","1112.0","1034.0","198.88929295539856",264,13,"955.0","425.01896023750305",520,19,"GRASP","Solve of tour [1, 15, 14, 13, 12, 11, 10, 9, 7, 8, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 3, 5, 6, 4, 2]","Solve of tour [3, 14, 15, 13, 12, 11, 10, 9, 7, 8, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 1, 2, 4, 6, 5]"
7,"bayg29",29,"1610.0","4840.0","4585.0","2005.0","1838.0","344.0437841415405",270,19,"1902.0","585.5574145317078",502,1,"VNS","Solve of tour [9, 12, 28, 1, 6, 5, 21, 2, 20, 10, 4, 15, 19, 25, 7, 23, 27, 8, 24, 16, 13, 18, 14, 11, 22, 17, 3, 29, 26]","Solve of tour [1, 28, 6, 12, 9, 5, 21, 2, 20, 10, 4, 15, 19, 25, 7, 23, 27, 8, 24, 16, 13, 18, 14, 17, 22, 11, 29, 3, 26]"
8,"bays29",29,"2020.0","6252.0","5845.0","2258.0","2111.0","320.36572194099426",255,4,"2125.0","590.7372977733612",505,4,"VNS","Solve of tour [1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 17, 14, 22, 11, 19, 16, 24, 8, 27, 23, 7, 25, 13]","Solve of tour [1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 14, 17, 22, 11, 19, 16, 24, 27, 8, 23, 7, 25, 13]"
9,"dantzig42",42,,"2853.0","2734.0","956.0","857.0","1800.0413298606873",245,24,"846.0","1801.0564737319946",418,15,"GRASP","Solve of tour [2, 1, 42, 41, 40, 39, 38, 37, 35, 34, 33, 32, 31, 30, 29, 28, 26, 27, 24, 25, 10, 9, 8, 7, 6, 3, 4, 5, 36, 21, 22, 23, 17, 20, 19, 18, 16, 15, 14, 13, 12, 11]","Solve of tour [22, 23, 21, 20, 19, 18, 17, 16, 14, 15, 13, 12, 11, 10, 25, 24, 27, 26, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 5, 4, 3, 8, 9, 7, 6, 36, 41, 1, 42, 2]"
10,"swiss42",42,,"4339.0","4171.0","1630.0","1418.0","1800.0033223628998",272,23,"1376.0","1800.0347464084625",414,19,"GRASP","Solve of tour [1, 2, 7, 5, 4, 3, 28, 29, 30, 31, 33, 35, 34, 21, 32, 18, 38, 16, 17, 15, 20, 14, 6, 27, 19, 13, 12, 26, 11, 9, 42, 24, 10, 22, 41, 25, 40, 23, 39, 36, 37, 8]","Solve of tour [21, 35, 34, 33, 1, 2, 7, 5, 4, 3, 28, 29, 30, 31, 39, 23, 40, 22, 41, 25, 10, 24, 42, 26, 11, 9, 13, 12, 19, 27, 6, 20, 14, 15, 17, 16, 38, 8, 18, 32, 37, 36]"
11,"att48",48,"10628.0","52219.0","49449.0","12861.0","12218.0","1800.0353589057922",147,14,"12572.0","1802.2300214767456",249,1,"VNS","Solve of tour [8, 9, 38, 31, 44, 18, 7, 36, 28, 30, 6, 37, 19, 27, 17, 43, 46, 33, 15, 12, 11, 23, 14, 25, 13, 21, 47, 20, 40, 3, 22, 16, 41, 34, 29, 5, 48, 39, 32, 24, 42, 10, 45, 35, 4, 26, 2, 1]","Solve of tour [48, 5, 29, 2, 42, 10, 24, 45, 35, 4, 26, 39, 32, 21, 47, 11, 23, 14, 25, 13, 12, 15, 33, 46, 44, 18, 7, 28, 36, 30, 6, 37, 19, 27, 17, 43, 20, 40, 9, 1, 8, 38, 31, 22, 16, 3, 41, 34]"
12,"gr48",48,"5046.0","24261.0","23182.0","6098.0","5780.0","1800.1723613739014",161,28,"5851.0","1803.682889699936",254,3,"VNS","Solve of tour [7, 28, 44, 41, 46, 18, 34, 23, 25, 3, 19, 4, 30, 2, 35, 20, 38, 45, 43, 47, 37, 42, 39, 40, 24, 10, 12, 31, 33, 8, 22, 6, 36, 48, 13, 16, 11, 26, 15, 5, 32, 27, 17, 21, 9, 14, 29, 1]","Solve of tour [48, 13, 16, 11, 36, 6, 22, 8, 33, 31, 10, 12, 5, 21, 32, 27, 17, 9, 14, 29, 7, 28, 46, 18, 34, 23, 25, 3, 19, 4, 30, 45, 2, 35, 20, 38, 43, 47, 37, 40, 39, 42, 24, 15, 26, 41, 44, 1]"
13,"hk48",48,,"48146.0","46224.0","13181.0","12696.0","1801.0235521793365",149,8,"12181.0","1801.0504705905914",255,2,"GRASP","Solve of tour [1, 42, 37, 27, 44, 39, 45, 46, 4, 11, 16, 2, 43, 21, 15, 48, 24, 35, 17, 20, 31, 12, 22, 13, 28, 32, 25, 3, 5, 29, 26, 41, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 33, 19]","Solve of tour [41, 24, 35, 17, 31, 20, 11, 16, 1, 19, 37, 27, 44, 39, 45, 46, 4, 42, 2, 15, 43, 21, 33, 5, 3, 25, 32, 28, 13, 22, 12, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 29, 26, 48]"
14,"eil51",51,"426.0","1532.0","1490.0","511.0","505.0","1800.0423316955566",111,6,"475.0","1804.6351125240326",204,3,"GRASP","Solve of tour [1, 32, 11, 38, 5, 49, 9, 50, 16, 2, 29, 21, 34, 30, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 47, 12, 46, 51, 27, 6, 48, 8, 26, 31, 28, 3, 36, 35, 20, 22, 7, 23, 24, 14, 25, 41, 19, 42, 40, 13, 43]","Solve of tour [7, 23, 48, 8, 26, 31, 28, 3, 36, 35, 20, 29, 21, 50, 34, 30, 9, 49, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 47, 12, 46, 51, 27, 32, 1, 22, 2, 16, 38, 11, 5, 6, 14, 25, 13, 41, 19, 42, 40, 24, 43]"
15,"berlin52",52,"7542.0","26306.0","25845.0","8980.0","8279.0","1800.1193497180939",128,27,"8813.0","1805.1718559265137",189,3,"VNS","Solve of tour [22, 1, 32, 49, 36, 35, 34, 39, 40, 37, 38, 48, 24, 5, 15, 6, 4, 25, 46, 44, 16, 50, 20, 23, 31, 18, 3, 45, 19, 41, 8, 9, 10, 43, 33, 51, 12, 28, 26, 27, 11, 52, 14, 13, 47, 29, 30, 42, 2, 7, 17, 21]","Solve of tour [31, 18, 22, 1, 49, 32, 36, 35, 34, 39, 40, 38, 37, 48, 24, 5, 15, 6, 4, 25, 46, 44, 16, 50, 20, 23, 30, 21, 17, 3, 45, 19, 41, 8, 9, 10, 43, 33, 51, 12, 28, 27, 26, 47, 13, 14, 52, 11, 29, 42, 7, 2]"
16,"brazil58",58,"25395.0","122456.0","118912.0","30774.0","29288.0","1801.8317339420319",48,15,"26961.0","1805.6229598522186",124,9,"GRASP","Solve of tour [1, 30, 13, 40, 25, 9, 32, 20, 53, 50, 4, 18, 44, 24, 58, 5, 27, 43, 12, 57, 23, 55, 54, 2, 41, 35, 10, 52, 51, 47, 49, 3, 48, 39, 29, 36, 17, 26, 19, 6, 28, 14, 37, 15, 34, 46, 56, 45, 33, 21, 11, 22, 8, 16, 42, 38, 31, 7]","Solve of tour [44, 18, 1, 30, 13, 40, 25, 9, 32, 20, 53, 50, 4, 22, 8, 55, 54, 2, 41, 35, 10, 52, 51, 47, 49, 3, 48, 39, 29, 36, 17, 26, 6, 19, 28, 14, 37, 34, 56, 46, 15, 45, 33, 21, 11, 16, 38, 42, 31, 7, 5, 27, 43, 12, 57, 23, 24, 58]"
